player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Harry Kane,22.0,14.0,8.0,1604,18,72.9,0.8
Patrick Bamford,16.0,13.0,3.0,1598,20,99.9,1.2
Bruno Fernandes,16.0,9.0,7.0,1692,19,105.8,1.2
Marcus Rashford,15.0,8.0,7.0,1484,19,98.9,1.3
Mohamed Salah,14.0,9.0,5.0,1651,20,117.9,1.4
Heung-min Son,14.0,8.0,6.0,1609,19,114.9,1.4
Jamie Vardy,14.0,6.0,8.0,1488,18,106.3,1.3
Timo Werner,12.0,5.0,7.0,1374,18,114.5,1.5
Kevin De Bruyne,12.0,4.0,8.0,1012,12,84.3,1.0
Dominic Calvert-Lewin,11.0,11.0,0.0,1511,17,137.4,1.5
Kelechi Iheanacho,11.0,9.0,2.0,943,14,85.7,1.3
Chris Wood,11.0,8.0,3.0,1242,14,112.9,1.3
Jack Harrison,11.0,6.0,5.0,1674,20,152.2,1.8
Gareth Bale,10.0,9.0,1.0,633,11,63.3,1.1
Ilkay Gündogan,10.0,8.0,2.0,1272,17,127.2,1.7
Raheem Sterling,10.0,5.0,5.0,1151,14,115.1,1.4
Sadio Mané,10.0,5.0,5.0,1386,18,138.6,1.8
Alexandre Lacazette,9.0,7.0,2.0,928,16,103.1,1.8
Danny Ings,9.0,7.0,2.0,1080,14,120.0,1.6
Riyad Mahrez,9.0,7.0,2.0,879,12,97.7,1.3
Che Adams,9.0,6.0,3.0,1281,18,142.3,2.0
Mason Mount,9.0,5.0,4.0,1521,19,169.0,2.1
Jack Grealish,9.0,3.0,6.0,1104,13,122.7,1.4
Nicolas Pépé,8.0,8.0,0.0,837,15,104.6,1.9
Edinson Cavani,8.0,7.0,1.0,816,13,102.0,1.6
Gabriel Jesus,8.0,6.0,2.0,1132,16,141.5,2.0
James Maddison,8.0,5.0,3.0,1101,16,137.6,2.0
Jarrod Bowen,8.0,5.0,3.0,1283,20,160.4,2.5
Michail Antonio,8.0,5.0,3.0,1032,14,129.0,1.8
Raphinha,8.0,4.0,4.0,1267,17,158.4,2.1
Roberto Firmino,8.0,4.0,4.0,1388,18,173.5,2.2
Stuart Armstrong,8.0,3.0,5.0,1393,16,174.1,2.0
Ferran Torres,7.0,6.0,1.0,767,13,109.6,1.9
Pierre-Emerick Aubameyang,7.0,6.0,1.0,1286,16,183.7,2.3
Wilfried Zaha,7.0,6.0,1.0,1129,13,161.3,1.9
Harvey Barnes,7.0,5.0,2.0,887,12,126.7,1.7
Rodrigo,7.0,5.0,2.0,833,14,119.0,2.0
Bukayo Saka,7.0,4.0,3.0,1469,18,209.9,2.6
Callum Wilson,7.0,4.0,3.0,957,12,136.7,1.7
James Ward-Prowse,7.0,4.0,3.0,1620,18,231.4,2.6
Jesse Lingard,7.0,4.0,3.0,798,9,114.0,1.3
Kai Havertz,7.0,4.0,3.0,914,14,130.6,2.0
Phil Foden,7.0,4.0,3.0,813,13,116.1,1.9
Richarlison,7.0,4.0,3.0,1375,17,196.4,2.4
Ben Chilwell,7.0,3.0,4.0,1111,13,158.7,1.9
Eberechi Eze,7.0,3.0,4.0,1241,17,177.3,2.4
Mateusz Klich,7.0,2.0,5.0,1296,18,185.1,2.6
Saïd Benrahma,7.0,1.0,6.0,774,16,110.6,2.3
Anwar El Ghazi,6.0,6.0,0.0,713,12,118.8,2.0
Christian Benteke,6.0,6.0,0.0,819,15,136.5,2.5
Tomas Soucek,6.0,6.0,0.0,1800,20,300.0,3.3
Anthony Martial,6.0,4.0,2.0,922,12,153.7,2.0
James Rodríguez,6.0,4.0,2.0,987,12,164.5,2.0
Ollie Watkins,6.0,4.0,2.0,1620,18,270.0,3.0
Bertrand Traoré,6.0,3.0,3.0,1142,17,190.3,2.8
Allan Saint-Maximin,6.0,2.0,4.0,619,11,103.2,1.8
Leandro Trossard,6.0,2.0,4.0,1207,16,201.2,2.7
Paul Pogba,6.0,2.0,4.0,1047,13,174.5,2.2
Pascal Groß,6.0,1.0,5.0,1089,15,181.5,2.5
Matheus Pereira,5.0,5.0,0.0,1303,16,260.6,3.2
Jorginho,5.0,4.0,1.0,1082,16,216.4,3.2
Mason Greenwood,5.0,4.0,1.0,1024,16,204.8,3.2
Neal Maupay,5.0,4.0,1.0,1394,17,278.8,3.4
Christian Pulisic,5.0,3.0,2.0,738,11,147.6,2.2
Fábio Silva,5.0,3.0,2.0,568,14,113.6,2.8
Pablo Fornals,5.0,3.0,2.0,1271,17,254.2,3.4
Pedro Neto,5.0,3.0,2.0,1089,14,217.8,2.8
