player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Jamie Vardy,8.0,4.0,4.0,445,5,55.6,0.6
Patrick Bamford,7.0,4.0,3.0,437,6,62.4,0.9
Mason Mount,6.0,4.0,2.0,481,6,80.2,1.0
Alexandre Lacazette,5.0,5.0,0.0,367,5,73.4,1.0
Dominic Calvert-Lewin,5.0,5.0,0.0,431,5,86.2,1.0
Kelechi Iheanacho,5.0,5.0,0.0,311,5,62.2,1.0
Raheem Sterling,5.0,2.0,3.0,360,4,72.0,0.8
Timo Werner,5.0,1.0,4.0,447,6,89.4,1.2
Harry Kane,4.0,4.0,0.0,540,6,135.0,1.5
Wilfried Zaha,4.0,3.0,1.0,441,5,110.2,1.2
Eberechi Eze,4.0,2.0,2.0,397,6,99.2,1.5
Heung-min Son,4.0,2.0,2.0,540,6,135.0,1.5
Jack Harrison,4.0,2.0,2.0,540,6,135.0,1.5
Raphinha,4.0,2.0,2.0,351,4,87.8,1.0
Anwar El Ghazi,3.0,3.0,0.0,332,4,110.7,1.3
Che Adams,3.0,3.0,0.0,439,6,146.3,2.0
Christian Benteke,3.0,3.0,0.0,408,5,136.0,1.7
Gareth Bale,3.0,3.0,0.0,220,3,73.3,1.0
Ilkay Gündogan,3.0,3.0,0.0,327,5,109.0,1.7
Bruno Fernandes,3.0,2.0,1.0,530,6,176.7,2.0
Bukayo Saka,3.0,2.0,1.0,407,5,135.7,1.7
Fábio Silva,3.0,2.0,1.0,205,4,68.3,1.3
Kai Havertz,3.0,2.0,1.0,198,3,66.0,1.0
Bertrand Traoré,3.0,1.0,2.0,357,5,119.0,1.7
Jack Grealish,3.0,1.0,2.0,270,3,90.0,1.0
João Cancelo,3.0,1.0,2.0,450,5,150.0,1.7
Kevin De Bruyne,3.0,1.0,2.0,270,3,90.0,1.0
Mateusz Klich,3.0,1.0,2.0,260,5,86.7,1.7
Richarlison,3.0,1.0,2.0,436,5,145.3,1.7
Sadio Mané,3.0,1.0,2.0,478,6,159.3,2.0
Serge Aurier,3.0,1.0,2.0,338,4,112.7,1.3
Stuart Armstrong,3.0,1.0,2.0,528,6,176.0,2.0
Tyrone Mings,3.0,1.0,2.0,540,6,180.0,2.0
Willian,3.0,1.0,2.0,296,5,98.7,1.7
Aleksandar Mitrovic,3.0,0.0,3.0,270,3,90.0,1.0
James Maddison,3.0,0.0,3.0,357,5,119.0,1.7
Saïd Benrahma,3.0,0.0,3.0,216,5,72.0,1.7
Ademola Lookman,2.0,2.0,0.0,360,4,180.0,2.0
Ayoze Pérez,2.0,2.0,0.0,296,5,148.0,2.5
Billy Sharp,2.0,2.0,0.0,185,3,92.5,1.5
Bobby Reid,2.0,2.0,0.0,158,3,79.0,1.5
Edinson Cavani,2.0,2.0,0.0,318,5,159.0,2.5
Gabriel Jesus,2.0,2.0,0.0,390,5,195.0,2.5
Hélder Costa,2.0,2.0,0.0,165,3,82.5,1.5
Joe Willock,2.0,2.0,0.0,278,4,139.0,2.0
Marcus Rashford,2.0,2.0,0.0,381,6,190.5,3.0
Michail Antonio,2.0,2.0,0.0,248,3,124.0,1.5
Mohamed Salah,2.0,2.0,0.0,534,6,267.0,3.0
Nicolas Pépé,2.0,2.0,0.0,248,5,124.0,2.5
Rodrigo,2.0,2.0,0.0,230,5,115.0,2.5
Tammy Abraham,2.0,2.0,0.0,219,4,109.5,2.0
Tomas Soucek,2.0,2.0,0.0,540,6,270.0,3.0
Trezeguet,2.0,2.0,0.0,202,3,101.0,1.5
Abdoulaye Doucouré,2.0,1.0,1.0,477,6,238.5,3.0
Adama Traoré,2.0,1.0,1.0,458,6,229.0,3.0
Anthony Martial,2.0,1.0,1.0,421,5,210.5,2.5
Conor Hourihane,2.0,1.0,1.0,139,2,69.5,1.0
Emile Smith Rowe,2.0,1.0,1.0,230,3,115.0,1.5
Gylfi Sigurdsson,2.0,1.0,1.0,290,6,145.0,3.0
James Justin,2.0,1.0,1.0,360,4,180.0,2.0
James Rodríguez,2.0,1.0,1.0,298,4,149.0,2.0
James Ward-Prowse,2.0,1.0,1.0,540,6,270.0,3.0
Keinan Davis,2.0,1.0,1.0,68,4,34.0,2.0
Kieran Tierney,2.0,1.0,1.0,297,4,148.5,2.0
Nathan Tella,2.0,1.0,1.0,112,3,56.0,1.5
Oriol Romeu,2.0,1.0,1.0,176,2,88.0,1.0
Riyad Mahrez,2.0,1.0,1.0,265,3,132.5,1.5
Timothy Castagne,2.0,1.0,1.0,270,3,135.0,1.5
Willy Boly,2.0,1.0,1.0,360,4,180.0,2.0
Hakim Ziyech,2.0,0.0,2.0,264,4,132.0,2.0
Héctor Bellerín,2.0,0.0,2.0,302,4,151.0,2.0
Jacob Murphy,2.0,0.0,2.0,196,4,98.0,2.0
Jesse Lingard,2.0,0.0,2.0,262,3,131.0,1.5
John McGinn,2.0,0.0,2.0,540,6,270.0,3.0
Pierre-Emile Höjbjerg,2.0,0.0,2.0,540,6,270.0,3.0
Steven Bergwijn,2.0,0.0,2.0,118,3,59.0,1.5
Alisson,1.0,1.0,0.0,450,5,450.0,5.0
Angelo Ogbonna,1.0,1.0,0.0,423,5,423.0,5.0
Ashley Barnes,1.0,1.0,0.0,251,5,251.0,5.0
Ashley Westwood,1.0,1.0,0.0,540,6,540.0,6.0
Ben Chilwell,1.0,1.0,0.0,323,4,323.0,4.0
Ben Mee,1.0,1.0,0.0,270,3,270.0,3.0
Callum Hudson-Odoi,1.0,1.0,0.0,88,3,88.0,3.0
Callum Wilson,1.0,1.0,0.0,270,3,270.0,3.0
Chris Wood,1.0,1.0,0.0,356,4,356.0,4.0
Christian Pulisic,1.0,1.0,0.0,135,2,135.0,2.0
Conor Gallagher,1.0,1.0,0.0,286,4,286.0,4.0
Curtis Jones,1.0,1.0,0.0,312,4,312.0,4.0
Danny Welbeck,1.0,1.0,0.0,233,4,233.0,4.0
Declan Rice,1.0,1.0,0.0,540,6,540.0,6.0
Diogo Jota,1.0,1.0,0.0,173,2,173.0,2.0
Dwight Gayle,1.0,1.0,0.0,139,5,139.0,5.0
Eddie Nketiah,1.0,1.0,0.0,81,4,81.0,4.0
Ezgjan Alioski,1.0,1.0,0.0,381,6,381.0,6.0
Ezri Konsa,1.0,1.0,0.0,450,5,450.0,5.0
Fabian Schär,1.0,1.0,0.0,107,2,107.0,2.0
