player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Ollie Watkins,10.0,8.0,2.0,1079,12,107.9,1.2
Jamie Vardy,8.0,8.0,0.0,1001,12,125.1,1.5
Heung-min Son,8.0,6.0,2.0,807,10,100.9,1.2
Matheus Pereira,8.0,3.0,5.0,747,10,93.4,1.2
Sadio Mané,7.0,4.0,3.0,816,10,116.6,1.4
Jack Grealish,7.0,2.0,5.0,703,8,100.4,1.1
Ilkay Gündogan,6.0,5.0,1.0,548,8,91.3,1.3
Michail Antonio,6.0,4.0,2.0,652,8,108.7,1.3
Bertrand Traoré,6.0,3.0,3.0,759,11,126.5,1.8
Harry Kane,6.0,3.0,3.0,765,9,127.5,1.5
James Ward-Prowse,6.0,2.0,4.0,1080,12,180.0,2.0
Danny Ings,5.0,5.0,0.0,674,9,134.8,1.8
David McGoldrick,5.0,5.0,0.0,722,12,144.4,2.4
Mohamed Salah,5.0,5.0,0.0,872,10,174.4,2.0
Gylfi Sigurdsson,5.0,4.0,1.0,730,12,146.0,2.4
Raheem Sterling,5.0,4.0,1.0,828,10,165.6,2.0
Roberto Firmino,5.0,4.0,1.0,845,10,169.0,2.0
Dominic Calvert-Lewin,5.0,3.0,2.0,837,10,167.4,2.0
James Maddison,5.0,3.0,2.0,707,11,141.4,2.2
Trent Alexander-Arnold,5.0,1.0,4.0,873,10,174.6,2.0
Callum Robinson,4.0,4.0,0.0,490,8,122.5,2.0
Diogo Jota,4.0,4.0,0.0,231,5,57.8,1.2
Stuart Dallas,4.0,4.0,0.0,1080,12,270.0,3.0
Leandro Trossard,4.0,3.0,1.0,814,12,203.5,3.0
Patrick Bamford,4.0,3.0,1.0,941,12,235.2,3.0
Che Adams,4.0,2.0,2.0,872,11,218.0,2.8
Jesse Lingard,4.0,2.0,2.0,360,4,90.0,1.0
John McGinn,4.0,2.0,2.0,1080,12,270.0,3.0
Pedro Neto,4.0,2.0,2.0,855,10,213.8,2.5
Phil Foden,4.0,2.0,2.0,413,7,103.2,1.8
James Rodríguez,4.0,1.0,3.0,588,8,147.0,2.0
Pascal Groß,4.0,1.0,3.0,836,11,209.0,2.8
Raphinha,4.0,0.0,4.0,662,8,165.5,2.0
Alexandre Lacazette,3.0,3.0,0.0,646,10,215.3,3.3
Bruno Fernandes,3.0,3.0,0.0,839,10,279.7,3.3
Christian Benteke,3.0,3.0,0.0,571,7,190.3,2.3
Joe Willock,3.0,3.0,0.0,321,6,107.0,2.0
Daniel Podence,3.0,2.0,1.0,580,8,193.3,2.7
Harvey Barnes,3.0,2.0,1.0,632,8,210.7,2.7
Youri Tielemans,3.0,2.0,1.0,1077,12,359.0,4.0
Ademola Lookman,3.0,1.0,2.0,892,11,297.3,3.7
Jeffrey Schlupp,3.0,1.0,2.0,470,9,156.7,3.0
Kevin De Bruyne,3.0,1.0,2.0,509,6,169.7,2.0
Tariq Lamptey,3.0,1.0,2.0,259,3,86.3,1.0
Wilfred Ndidi,3.0,1.0,2.0,803,9,267.7,3.0
Anwar El Ghazi,2.0,2.0,0.0,503,10,251.5,5.0
Joelinton,2.0,2.0,0.0,835,12,417.5,6.0
Mbaye Diagne,2.0,2.0,0.0,326,4,163.0,2.0
Richarlison,2.0,2.0,0.0,973,11,486.5,5.5
Rodrigo,2.0,2.0,0.0,313,8,156.5,4.0
Tomas Soucek,2.0,2.0,0.0,1080,12,540.0,6.0
Wilfried Zaha,2.0,2.0,0.0,855,10,427.5,5.0
Abdoulaye Doucouré,2.0,1.0,1.0,756,9,378.0,4.5
Andrew Robertson,2.0,1.0,1.0,866,10,433.0,5.0
Andros Townsend,2.0,1.0,1.0,781,11,390.5,5.5
Bobby Reid,2.0,1.0,1.0,710,9,355.0,4.5
Callum Hudson-Odoi,2.0,1.0,1.0,240,6,120.0,3.0
Danny Welbeck,2.0,1.0,1.0,311,5,155.5,2.5
Edinson Cavani,2.0,1.0,1.0,346,6,173.0,3.0
Emile Smith Rowe,2.0,1.0,1.0,332,5,166.0,2.5
Gabriel Jesus,2.0,1.0,1.0,554,8,277.0,4.0
Giovani Lo Celso,2.0,1.0,1.0,241,5,120.5,2.5
