player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Matheus Pereira,7.0,2.0,5.0,557,7,79.6,1.0
Heung-min Son,6.0,5.0,1.0,700,8,116.7,1.3
Ollie Watkins,6.0,4.0,2.0,719,8,119.8,1.3
Jack Grealish,6.0,2.0,4.0,450,5,75.0,0.8
James Maddison,5.0,3.0,2.0,470,8,94.0,1.6
Callum Robinson,4.0,4.0,0.0,265,5,66.2,1.2
Jamie Vardy,4.0,4.0,0.0,703,8,175.8,2.0
Bertrand Traoré,4.0,3.0,1.0,543,8,135.8,2.0
Dominic Calvert-Lewin,4.0,2.0,2.0,568,7,142.0,1.8
Harry Kane,4.0,2.0,2.0,585,7,146.2,1.8
James Ward-Prowse,4.0,2.0,2.0,720,8,180.0,2.0
John McGinn,4.0,2.0,2.0,720,8,180.0,2.0
Phil Foden,4.0,2.0,2.0,216,4,54.0,1.0
David McGoldrick,3.0,3.0,0.0,395,8,131.7,2.7
Ilkay Gündogan,3.0,3.0,0.0,364,5,121.3,1.7
Mohamed Salah,3.0,3.0,0.0,512,6,170.7,2.0
Stuart Dallas,3.0,3.0,0.0,720,8,240.0,2.7
Che Adams,3.0,2.0,1.0,522,7,174.0,2.3
Harvey Barnes,3.0,2.0,1.0,422,5,140.7,1.7
Leandro Trossard,3.0,2.0,1.0,601,8,200.3,2.7
Patrick Bamford,3.0,2.0,1.0,592,8,197.3,2.7
Roberto Firmino,3.0,2.0,1.0,500,6,166.7,2.0
Sadio Mané,3.0,2.0,1.0,466,6,155.3,2.0
James Rodríguez,3.0,1.0,2.0,322,5,107.3,1.7
Kevin De Bruyne,3.0,1.0,2.0,356,4,118.7,1.3
Wilfred Ndidi,3.0,1.0,2.0,533,6,177.7,2.0
Alexandre Lacazette,2.0,2.0,0.0,468,8,234.0,4.0
Anwar El Ghazi,2.0,2.0,0.0,381,7,190.5,3.5
Bruno Fernandes,2.0,2.0,0.0,539,6,269.5,3.0
Danny Ings,2.0,2.0,0.0,363,5,181.5,2.5
Gylfi Sigurdsson,2.0,2.0,0.0,438,8,219.0,4.0
Joe Willock,2.0,2.0,0.0,310,5,155.0,2.5
Mbaye Diagne,2.0,2.0,0.0,180,2,90.0,1.0
Michail Antonio,2.0,2.0,0.0,305,4,152.5,2.0
Raheem Sterling,2.0,2.0,0.0,540,6,270.0,3.0
Richarlison,2.0,2.0,0.0,614,7,307.0,3.5
Wilfried Zaha,2.0,2.0,0.0,540,6,270.0,3.0
Abdoulaye Doucouré,2.0,1.0,1.0,576,7,288.0,3.5
Ademola Lookman,2.0,1.0,1.0,710,8,355.0,4.0
Bobby Reid,2.0,1.0,1.0,515,6,257.5,3.0
Daniel Podence,2.0,1.0,1.0,358,5,179.0,2.5
Danny Welbeck,2.0,1.0,1.0,295,4,147.5,2.0
Emile Smith Rowe,2.0,1.0,1.0,255,4,127.5,2.0
Gabriel Jesus,2.0,1.0,1.0,358,5,179.0,2.5
Giovani Lo Celso,2.0,1.0,1.0,169,4,84.5,2.0
Jack Harrison,2.0,1.0,1.0,459,6,229.5,3.0
Marcus Rashford,2.0,1.0,1.0,523,6,261.5,3.0
Michael Keane,2.0,1.0,1.0,720,8,360.0,4.0
Oliver Burke,2.0,1.0,1.0,304,6,152.0,3.0
Pascal Groß,2.0,1.0,1.0,476,7,238.0,3.5
Pierre-Emerick Aubameyang,2.0,1.0,1.0,514,6,257.0,3.0
Pierre-Emile Höjbjerg,2.0,1.0,1.0,720,8,360.0,4.0
Sander Berge,2.0,1.0,1.0,282,4,141.0,2.0
Serge Aurier,2.0,1.0,1.0,585,7,292.5,3.5
Tanguy Ndombélé,2.0,1.0,1.0,500,7,250.0,3.5
Youri Tielemans,2.0,1.0,1.0,717,8,358.5,4.0
Darnell Furlong,2.0,0.0,2.0,675,8,337.5,4.0
Jeffrey Schlupp,2.0,0.0,2.0,265,6,132.5,3.0
Kalvin Phillips,2.0,0.0,2.0,675,8,337.5,4.0
Marc Albrighton,2.0,0.0,2.0,550,7,275.0,3.5
Raphinha,2.0,0.0,2.0,360,4,180.0,2.0
Tariq Lamptey,2.0,0.0,2.0,180,2,90.0,1.0
Adam Webster,1.0,1.0,0.0,630,7,630.0,7.0
Allan Saint-Maximin,1.0,1.0,0.0,493,6,493.0,6.0
Andros Townsend,1.0,1.0,0.0,535,7,535.0,7.0
Ashley Barnes,1.0,1.0,0.0,332,4,332.0,4.0
Bukayo Saka,1.0,1.0,0.0,426,5,426.0,5.0
Caglar Söyüncü,1.0,1.0,0.0,360,4,360.0,4.0
Callum Hudson-Odoi,1.0,1.0,0.0,85,3,85.0,3.0
Christian Benteke,1.0,1.0,0.0,247,3,247.0,3.0
Conor Coady,1.0,1.0,0.0,720,8,720.0,8.0
Craig Dawson,1.0,1.0,0.0,270,3,270.0,3.0
Dan Burn,1.0,1.0,0.0,360,4,360.0,4.0
Diogo Jota,1.0,1.0,0.0,192,3,192.0,3.0
Emil Krafth,1.0,1.0,0.0,360,4,360.0,4.0
Granit Xhaka,1.0,1.0,0.0,413,5,413.0,5.0
Hakim Ziyech,1.0,1.0,0.0,293,5,293.0,5.0
Hal Robson-Kanu,1.0,1.0,0.0,160,4,160.0,4.0
James Tarkowski,1.0,1.0,0.0,720,8,720.0,8.0
Jan Bednarek,1.0,1.0,0.0,716,8,716.0,8.0
Jannik Vestergaard,1.0,1.0,0.0,540,6,540.0,6.0
Joe Bryan,1.0,1.0,0.0,189,4,189.0,4.0
Joelinton,1.0,1.0,0.0,548,8,548.0,8.0
Kelechi Iheanacho,1.0,1.0,0.0,199,5,199.0,5.0
Kyle Bartley,1.0,1.0,0.0,495,6,495.0,6.0
Liam Cooper,1.0,1.0,0.0,297,4,297.0,4.0
Luke Shaw,1.0,1.0,0.0,540,6,540.0,6.0
Marcos Alonso,1.0,1.0,0.0,180,2,180.0,2.0
Mario Lemina,1.0,1.0,0.0,444,7,444.0,7.0
Mason Mount,1.0,1.0,0.0,370,5,370.0,5.0
Mateusz Klich,1.0,1.0,0.0,333,7,333.0,7.0
Neal Maupay,1.0,1.0,0.0,417,7,417.0,7.0
Nélson Semedo,1.0,1.0,0.0,534,6,534.0,6.0
Pablo Fornals,1.0,1.0,0.0,543,7,543.0,7.0
Pedro Neto,1.0,1.0,0.0,585,7,585.0,7.0
Raúl Jiménez,1.0,1.0,0.0,90,1,90.0,1.0
Rodrigo,1.0,1.0,0.0,217,5,217.0,5.0
Ross Barkley,1.0,1.0,0.0,297,6,297.0,6.0
Semi Ajayi,1.0,1.0,0.0,720,8,720.0,8.0
Solly March,1.0,1.0,0.0,359,5,359.0,5.0
Takumi Minamino,1.0,1.0,0.0,80,2,80.0,2.0
Tomas Soucek,1.0,1.0,0.0,720,8,720.0,8.0
Aaron Wan-Bissaka,1.0,0.0,1.0,540,6,540.0,6.0
Anthony Martial,1.0,0.0,1.0,176,4,176.0,4.0
Ashley Westwood,1.0,0.0,1.0,711,8,711.0,8.0
Bernardo Silva,1.0,0.0,1.0,209,3,209.0,3.0
Conor Gallagher,1.0,0.0,1.0,450,5,450.0,5.0
Curtis Jones,1.0,0.0,1.0,160,4,160.0,4.0
César Azpilicueta,1.0,0.0,1.0,450,5,450.0,5.0
