player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement
Harry Kane,37.0,23.0,14.0,3086,35,83.4,0.9
Bruno Fernandes,29.0,18.0,11.0,3109,37,107.2,1.3
Mohamed Salah,27.0,22.0,5.0,3082,37,114.1,1.4
Heung-min Son,27.0,17.0,10.0,3126,37,115.8,1.4
Patrick Bamford,25.0,17.0,8.0,3063,38,122.5,1.5
Jamie Vardy,24.0,15.0,9.0,2844,34,118.5,1.4
Marcus Rashford,22.0,11.0,11.0,2924,37,132.9,1.7
Ollie Watkins,19.0,14.0,5.0,3329,37,175.2,1.9
Sadio Mané,19.0,11.0,8.0,2812,35,148.0,1.8
Dominic Calvert-Lewin,18.0,16.0,2.0,2876,33,159.8,1.8
Raheem Sterling,18.0,10.0,8.0,2536,31,140.9,1.7
Jack Grealish,18.0,6.0,12.0,2185,26,121.4,1.4
Kevin De Bruyne,18.0,6.0,12.0,2001,25,111.2,1.4
Timo Werner,18.0,6.0,12.0,2606,35,144.8,1.9
Callum Wilson,17.0,12.0,5.0,2085,26,122.6,1.5
Matheus Pereira,17.0,11.0,6.0,2583,33,151.9,1.9
Ilkay Gündogan,16.0,13.0,3.0,2031,28,126.9,1.8
Danny Ings,16.0,12.0,4.0,2185,29,136.6,1.8
Roberto Firmino,16.0,9.0,7.0,2852,36,178.2,2.2
Jack Harrison,16.0,8.0,8.0,2855,36,178.4,2.2
Alexandre Lacazette,15.0,13.0,2.0,1929,31,128.6,2.1
Chris Wood,15.0,12.0,3.0,2751,33,183.4,2.2
Michail Antonio,15.0,10.0,5.0,1983,26,132.2,1.7
Riyad Mahrez,15.0,9.0,6.0,1955,27,130.3,1.8
James Maddison,15.0,8.0,7.0,2105,31,140.3,2.1
James Ward-Prowse,15.0,8.0,7.0,3420,38,228.0,2.5
Raphinha,15.0,6.0,9.0,2364,30,157.6,2.0
Kelechi Iheanacho,14.0,12.0,2.0,1457,25,104.1,1.8
Che Adams,14.0,9.0,5.0,2674,36,191.0,2.6
Jesse Lingard,14.0,9.0,5.0,1425,16,101.8,1.1
Phil Foden,14.0,9.0,5.0,1614,28,115.3,2.0
Bertrand Traoré,14.0,7.0,7.0,2335,36,166.8,2.6
Gareth Bale,13.0,11.0,2.0,922,20,70.9,1.5
Wilfried Zaha,13.0,11.0,2.0,2614,30,201.1,2.3
Edinson Cavani,13.0,10.0,3.0,1368,26,105.2,2.0
Pierre-Emerick Aubameyang,13.0,10.0,3.0,2337,29,179.8,2.2
Gabriel Jesus,13.0,9.0,4.0,2059,29,158.4,2.2
Harvey Barnes,13.0,9.0,4.0,1950,25,150.0,1.9
Jarrod Bowen,13.0,8.0,5.0,2577,38,198.2,2.9
Mason Mount,12.0,6.0,6.0,2894,36,241.2,3.0
Christian Benteke,11.0,10.0,1.0,1817,30,165.2,2.7
Nicolas Pépé,11.0,10.0,1.0,1612,29,146.5,2.6
Tomas Soucek,11.0,10.0,1.0,3420,38,310.9,3.5
Gylfi Sigurdsson,11.0,6.0,5.0,2254,36,204.9,3.3
James Rodríguez,11.0,6.0,5.0,1776,23,161.5,2.1
Pascal Groß,11.0,3.0,8.0,2480,34,225.5,3.1
Anwar El Ghazi,10.0,10.0,0.0,1612,28,161.2,2.8
Neal Maupay,10.0,8.0,2.0,2520,33,252.0,3.3
Stuart Dallas,10.0,8.0,2.0,3411,38,341.1,3.8
Richarlison,10.0,7.0,3.0,2872,34,287.2,3.4
Youri Tielemans,10.0,6.0,4.0,3358,38,335.8,3.8
Leandro Trossard,10.0,5.0,5.0,2618,35,261.8,3.5
Pedro Neto,10.0,5.0,5.0,2560,31,256.0,3.1
Anthony Martial,10.0,4.0,6.0,1488,22,148.8,2.2
Eberechi Eze,10.0,4.0,6.0,2563,34,256.3,3.4
Diogo Jota,9.0,9.0,0.0,1113,19,123.7,2.1
David McGoldrick,9.0,8.0,1.0,2402,35,266.9,3.9
Ferran Torres,9.0,7.0,2.0,1307,24,145.2,2.7
Mason Greenwood,9.0,7.0,2.0,1826,31,202.9,3.4
Rodrigo,9.0,7.0,2.0,1288,26,143.1,2.9
Danny Welbeck,9.0,6.0,3.0,1549,24,172.1,2.7
Bukayo Saka,9.0,5.0,4.0,2561,32,284.6,3.6
Pablo Fornals,9.0,5.0,4.0,2584,33,287.1,3.7
Kai Havertz,9.0,4.0,5.0,1520,27,168.9,3.0
Mateusz Klich,9.0,4.0,5.0,2397,35,266.3,3.9
Stuart Armstrong,9.0,4.0,5.0,2774,33,308.2,3.7
John McGinn,9.0,3.0,6.0,3330,37,370.0,4.1
Trent Alexander-Arnold,9.0,2.0,7.0,3033,36,337.0,4.0
Joe Willock,8.0,8.0,0.0,1214,21,151.8,2.6
Jorginho,8.0,7.0,1.0,2014,28,251.8,3.5
Tammy Abraham,8.0,6.0,2.0,1034,22,129.2,2.8
Bobby Reid,8.0,5.0,3.0,2382,33,297.8,4.1
Ademola Lookman,8.0,4.0,4.0,2756,34,344.5,4.2
Allan Saint-Maximin,8.0,3.0,5.0,1567,25,195.9,3.1
Ben Chilwell,8.0,3.0,5.0,2291,27,286.4,3.4
Paul Pogba,8.0,3.0,5.0,1896,26,237.0,3.2
Bernardo Silva,8.0,2.0,6.0,2070,26,258.8,3.2
Andrew Robertson,8.0,1.0,7.0,3386,38,423.2,4.8
Fábio Silva,7.0,4.0,3.0,1356,32,193.7,4.6
Lucas Moura,7.0,3.0,4.0,1403,30,200.4,4.3
Dwight McNeil,7.0,2.0,5.0,3072,36,438.9,5.1
Saïd Benrahma,7.0,1.0,6.0,1388,30,198.3,4.3
Rúben Neves,6.0,5.0,1.0,2680,36,446.7,6.0
Christian Pulisic,6.0,4.0,2.0,1737,27,289.5,4.5
Joelinton,6.0,4.0,2.0,1987,31,331.2,5.2
Aleksandar Mitrovic,6.0,3.0,3.0,1390,27,231.7,4.5
Ashley Westwood,6.0,3.0,3.0,3411,38,568.5,6.3
Hélder Costa,6.0,3.0,3.0,1156,22,192.7,3.7
Theo Walcott,6.0,3.0,3.0,1641,22,273.5,3.7
Aaron Wan-Bissaka,6.0,2.0,4.0,3060,34,510.0,5.7
Emile Smith Rowe,6.0,2.0,4.0,1449,20,241.5,3.3
Pierre-Emile Höjbjerg,6.0,2.0,4.0,3420,38,570.0,6.3
Andros Townsend,6.0,1.0,5.0,2259,34,376.5,5.7
Luke Shaw,6.0,1.0,5.0,2655,32,442.5,5.3
Marc Albrighton,6.0,1.0,5.0,1742,31,290.3,5.2
Willian,6.0,1.0,5.0,1407,25,234.5,4.2
Callum Robinson,5.0,5.0,0.0,1563,28,312.6,5.6
Kurt Zouma,5.0,5.0,0.0,2027,24,405.4,4.8
Lewis Dunk,5.0,5.0,0.0,2933,33,586.6,6.6
Miguel Almirón,5.0,4.0,1.0,2439,34,487.8,6.8
Scott McTominay,5.0,4.0,1.0,2128,32,425.6,6.4
Sergio Agüero,5.0,4.0,1.0,558,12,111.6,2.4
Matej Vydra,5.0,3.0,2.0,1368,28,273.6,5.6
Mbaye Diagne,5.0,3.0,2.0,1193,16,238.6,3.2
Tanguy Ndombélé,5.0,3.0,2.0,2106,33,421.2,6.6
Abdoulaye Doucouré,5.0,2.0,3.0,2452,29,490.4,5.8
Adama Traoré,5.0,2.0,3.0,2643,37,528.6,7.4
Callum Hudson-Odoi,5.0,2.0,3.0,1058,23,211.6,4.6
Ezgjan Alioski,5.0,2.0,3.0,2462,36,492.4,7.2
Hakim Ziyech,5.0,2.0,3.0,1177,23,235.4,4.6
Jacob Murphy,5.0,2.0,3.0,1621,26,324.2,5.2
Jeffrey Schlupp,5.0,2.0,3.0,1426,27,285.2,5.4
João Cancelo,5.0,2.0,3.0,2302,28,460.4,5.6
Nathan Redmond,5.0,2.0,3.0,1730,29,346.0,5.8
Serge Aurier,5.0,2.0,3.0,1608,19,321.6,3.8
Timothy Castagne,5.0,2.0,3.0,2347,27,469.4,5.4
Kieran Tierney,5.0,1.0,4.0,2301,27,460.2,5.4
Steven Bergwijn,5.0,1.0,4.0,1212,21,242.4,4.2
Wilfred Ndidi,5.0,1.0,4.0,2179,26,435.8,5.2
John Stones,4.0,4.0,0.0,1934,22,483.5,5.5
Olivier Giroud,4.0,4.0,0.0,747,17,186.8,4.2
Daniel James,4.0,3.0,1.0,912,15,228.0,3.8
Daniel Podence,4.0,3.0,1.0,1677,24,419.2,6.0
Kyle Bartley,4.0,3.0,1.0,2584,30,646.0,7.5
Michael Keane,4.0,3.0,1.0,2990,35,747.5,8.8
Ross Barkley,4.0,3.0,1.0,1577,26,394.2,6.5
Conor Gallagher,4.0,2.0,2.0,2532,30,633.0,7.5
James Justin,4.0,2.0,2.0,2070,23,517.5,5.8
Jonny Evans,4.0,2.0,2.0,2476,28,619.0,7.0
Michy Batshuayi,4.0,2.0,2.0,722,18,180.5,4.5
Rodri,4.0,2.0,2.0,2748,34,687.0,8.5
Tyrone Mings,4.0,2.0,2.0,3195,36,798.8,9.0
Darnell Furlong,4.0,1.0,3.0,2930,35,732.5,8.8
Héctor Bellerín,4.0,1.0,3.0,2093,25,523.2,6.2
Jonjo Shelvey,4.0,1.0,3.0,2617,30,654.2,7.5
Jordan Ayew,4.0,1.0,3.0,2097,33,524.2,8.2
Tariq Lamptey,4.0,1.0,3.0,890,11,222.5,2.8
Angelo Ogbonna,3.0,3.0,0.0,2493,28,831.0,9.3
Ashley Barnes,3.0,3.0,0.0,1334,22,444.7,7.3
Billy Sharp,3.0,3.0,0.0,728,16,242.7,5.3
Craig Dawson,3.0,3.0,0.0,1926,22,642.0,7.3
Ivan Cavaleiro,3.0,3.0,0.0,2477,36,825.7,12.0
Jannik Vestergaard,3.0,3.0,0.0,2575,30,858.3,10.0
Josh Maja,3.0,3.0,0.0,809,15,269.7,5.0
Raúl Jiménez,3.0,3.0,0.0,825,10,275.0,3.3
Sébastien Haller,3.0,3.0,0.0,935,16,311.7,5.3
Takumi Minamino,3.0,3.0,0.0,1006,19,335.3,6.3
Aaron Connolly,3.0,2.0,1.0,791,17,263.7,5.7
Ayoze Pérez,3.0,2.0,1.0,1332,25,444.0,8.3
Benjamin Mendy,3.0,2.0,1.0,955,13,318.3,4.3
