player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Deflected shot on goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Solo run,Tap-in
Harry Kane,37.0,23.0,14.0,3086,35,83.4,0.9,134.2,2.5,12.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,9.0,0.0,1.0
Bruno Fernandes,29.0,18.0,11.0,3109,37,107.2,1.3,172.7,3.4,9.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,5.0,0.0,0.0
Mohamed Salah,27.0,22.0,5.0,3082,37,114.1,1.4,140.1,7.4,13.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0
Heung-min Son,27.0,17.0,10.0,3126,37,115.8,1.4,183.9,3.7,9.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0
Patrick Bamford,25.0,17.0,8.0,3063,38,122.5,1.5,180.2,4.8,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0
Jamie Vardy,24.0,15.0,9.0,2844,34,118.5,1.4,189.6,3.8,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0
Marcus Rashford,22.0,11.0,11.0,2924,37,132.9,1.7,265.8,3.4,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0
Ollie Watkins,19.0,14.0,5.0,3329,37,175.2,1.9,237.8,7.4,6.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0
Sadio Mané,19.0,11.0,8.0,2812,35,148.0,1.8,255.6,4.4,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
Dominic Calvert-Lewin,18.0,16.0,2.0,2876,33,159.8,1.8,179.8,16.5,9.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
Raheem Sterling,18.0,10.0,8.0,2536,31,140.9,1.7,253.6,3.9,6.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
Jack Grealish,18.0,6.0,12.0,2185,26,121.4,1.4,364.2,2.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Kevin De Bruyne,18.0,6.0,12.0,2001,25,111.2,1.4,333.5,2.1,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
Timo Werner,18.0,6.0,12.0,2606,35,144.8,1.9,434.3,2.9,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Callum Wilson,17.0,12.0,5.0,2085,26,122.6,1.5,173.8,5.2,7.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
Matheus Pereira,17.0,11.0,6.0,2583,33,151.9,1.9,234.8,5.5,8.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
Ilkay Gündogan,16.0,13.0,3.0,2031,28,126.9,1.8,156.2,9.3,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0
Danny Ings,16.0,12.0,4.0,2185,29,136.6,1.8,182.1,7.2,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0
Roberto Firmino,16.0,9.0,7.0,2852,36,178.2,2.2,316.9,5.1,6.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Jack Harrison,16.0,8.0,8.0,2855,36,178.4,2.2,356.9,4.5,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Alexandre Lacazette,15.0,13.0,2.0,1929,31,128.6,2.1,148.4,15.5,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0
Chris Wood,15.0,12.0,3.0,2751,33,183.4,2.2,229.2,11.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
Michail Antonio,15.0,10.0,5.0,1983,26,132.2,1.7,198.3,5.2,6.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Riyad Mahrez,15.0,9.0,6.0,1955,27,130.3,1.8,217.2,4.5,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
James Maddison,15.0,8.0,7.0,2105,31,140.3,2.1,263.1,4.4,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
James Ward-Prowse,15.0,8.0,7.0,3420,38,228.0,2.5,427.5,5.4,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Raphinha,15.0,6.0,9.0,2364,30,157.6,2.0,394.0,3.3,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Kelechi Iheanacho,14.0,12.0,2.0,1457,25,104.1,1.8,121.4,12.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
Che Adams,14.0,9.0,5.0,2674,36,191.0,2.6,297.1,7.2,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
Jesse Lingard,14.0,9.0,5.0,1425,16,101.8,1.1,158.3,3.2,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0
Phil Foden,14.0,9.0,5.0,1614,28,115.3,2.0,179.3,5.6,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Bertrand Traoré,14.0,7.0,7.0,2335,36,166.8,2.6,333.6,5.1,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
Gareth Bale,13.0,11.0,2.0,922,20,70.9,1.5,83.8,10.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Wilfried Zaha,13.0,11.0,2.0,2614,30,201.1,2.3,237.6,15.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0
Edinson Cavani,13.0,10.0,3.0,1368,26,105.2,2.0,136.8,8.7,6.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Pierre-Emerick Aubameyang,13.0,10.0,3.0,2337,29,179.8,2.2,233.7,9.7,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
Gabriel Jesus,13.0,9.0,4.0,2059,29,158.4,2.2,228.8,7.2,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Harvey Barnes,13.0,9.0,4.0,1950,25,150.0,1.9,216.7,6.2,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
Jarrod Bowen,13.0,8.0,5.0,2577,38,198.2,2.9,322.1,7.6,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Mason Mount,12.0,6.0,6.0,2894,36,241.2,3.0,482.3,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
Christian Benteke,11.0,10.0,1.0,1817,30,165.2,2.7,181.7,30.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Nicolas Pépé,11.0,10.0,1.0,1612,29,146.5,2.6,161.2,29.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0
Tomas Soucek,11.0,10.0,1.0,3420,38,310.9,3.5,342.0,38.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
