player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
Harry Kane,22.0,14.0,8.0,1604,18,72.9,0.8,114.6,2.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,0.0,1.0
Patrick Bamford,16.0,13.0,3.0,1598,20,99.9,1.2,122.9,6.7,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0
Bruno Fernandes,16.0,9.0,7.0,1692,19,105.8,1.2,188.0,2.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0
Marcus Rashford,15.0,8.0,7.0,1484,19,98.9,1.3,185.5,2.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
Mohamed Salah,14.0,9.0,5.0,1651,20,117.9,1.4,183.4,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
Heung-min Son,14.0,8.0,6.0,1609,19,114.9,1.4,201.1,3.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Jamie Vardy,14.0,6.0,8.0,1488,18,106.3,1.3,248.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
Timo Werner,12.0,5.0,7.0,1374,18,114.5,1.5,274.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Kevin De Bruyne,12.0,4.0,8.0,1012,12,84.3,1.0,253.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
Dominic Calvert-Lewin,11.0,11.0,0.0,1511,17,137.4,1.5,137.4,inf,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0
Kelechi Iheanacho,11.0,9.0,2.0,943,14,85.7,1.3,104.8,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0
Chris Wood,11.0,8.0,3.0,1242,14,112.9,1.3,155.2,4.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0
Jack Harrison,11.0,6.0,5.0,1674,20,152.2,1.8,279.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
Gareth Bale,10.0,9.0,1.0,633,11,63.3,1.1,70.3,11.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
Ilkay Gündogan,10.0,8.0,2.0,1272,17,127.2,1.7,159.0,8.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0
Raheem Sterling,10.0,5.0,5.0,1151,14,115.1,1.4,230.2,2.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Sadio Mané,10.0,5.0,5.0,1386,18,138.6,1.8,277.2,3.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Alexandre Lacazette,9.0,7.0,2.0,928,16,103.1,1.8,132.6,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
Danny Ings,9.0,7.0,2.0,1080,14,120.0,1.6,154.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
Riyad Mahrez,9.0,7.0,2.0,879,12,97.7,1.3,125.6,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Che Adams,9.0,6.0,3.0,1281,18,142.3,2.0,213.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Mason Mount,9.0,5.0,4.0,1521,19,169.0,2.1,304.2,4.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
Jack Grealish,9.0,3.0,6.0,1104,13,122.7,1.4,368.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Nicolas Pépé,8.0,8.0,0.0,837,15,104.6,1.9,104.6,inf,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Edinson Cavani,8.0,7.0,1.0,816,13,102.0,1.6,116.6,13.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0
Gabriel Jesus,8.0,6.0,2.0,1132,16,141.5,2.0,188.7,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
James Maddison,8.0,5.0,3.0,1101,16,137.6,2.0,220.2,5.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Jarrod Bowen,8.0,5.0,3.0,1283,20,160.4,2.5,256.6,6.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,8.0,5.0,3.0,1032,14,129.0,1.8,206.4,4.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Raphinha,8.0,4.0,4.0,1267,17,158.4,2.1,316.8,4.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Roberto Firmino,8.0,4.0,4.0,1388,18,173.5,2.2,347.0,4.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Stuart Armstrong,8.0,3.0,5.0,1393,16,174.1,2.0,464.3,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Ferran Torres,7.0,6.0,1.0,767,13,109.6,1.9,127.8,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Pierre-Emerick Aubameyang,7.0,6.0,1.0,1286,16,183.7,2.3,214.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Wilfried Zaha,7.0,6.0,1.0,1129,13,161.3,1.9,188.2,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
Harvey Barnes,7.0,5.0,2.0,887,12,126.7,1.7,177.4,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Rodrigo,7.0,5.0,2.0,833,14,119.0,2.0,166.6,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Bukayo Saka,7.0,4.0,3.0,1469,18,209.9,2.6,367.2,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
Callum Wilson,7.0,4.0,3.0,957,12,136.7,1.7,239.2,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
James Ward-Prowse,7.0,4.0,3.0,1620,18,231.4,2.6,405.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jesse Lingard,7.0,4.0,3.0,798,9,114.0,1.3,199.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Kai Havertz,7.0,4.0,3.0,914,14,130.6,2.0,228.5,4.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Phil Foden,7.0,4.0,3.0,813,13,116.1,1.9,203.2,4.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Richarlison,7.0,4.0,3.0,1375,17,196.4,2.4,343.8,5.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Ben Chilwell,7.0,3.0,4.0,1111,13,158.7,1.9,370.3,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
Eberechi Eze,7.0,3.0,4.0,1241,17,177.3,2.4,413.7,4.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mateusz Klich,7.0,2.0,5.0,1296,18,185.1,2.6,648.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Saïd Benrahma,7.0,1.0,6.0,774,16,110.6,2.3,774.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anwar El Ghazi,6.0,6.0,0.0,713,12,118.8,2.0,118.8,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Christian Benteke,6.0,6.0,0.0,819,15,136.5,2.5,136.5,inf,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
