player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Right-footed shot,Solo run,Tap-in
Jamie Vardy,8.0,4.0,4.0,445,5,55.6,0.6,111.2,1.2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Patrick Bamford,7.0,4.0,3.0,437,6,62.4,0.9,109.2,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mason Mount,6.0,4.0,2.0,481,6,80.2,1.0,120.2,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Alexandre Lacazette,5.0,5.0,0.0,367,5,73.4,1.0,73.4,inf,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Dominic Calvert-Lewin,5.0,5.0,0.0,431,5,86.2,1.0,86.2,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kelechi Iheanacho,5.0,5.0,0.0,311,5,62.2,1.0,62.2,inf,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Raheem Sterling,5.0,2.0,3.0,360,4,72.0,0.8,180.0,1.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Timo Werner,5.0,1.0,4.0,447,6,89.4,1.2,447.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Harry Kane,4.0,4.0,0.0,540,6,135.0,1.5,135.0,inf,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Wilfried Zaha,4.0,3.0,1.0,441,5,110.2,1.2,147.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Eberechi Eze,4.0,2.0,2.0,397,6,99.2,1.5,198.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Heung-min Son,4.0,2.0,2.0,540,6,135.0,1.5,270.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jack Harrison,4.0,2.0,2.0,540,6,135.0,1.5,270.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Raphinha,4.0,2.0,2.0,351,4,87.8,1.0,175.5,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Anwar El Ghazi,3.0,3.0,0.0,332,4,110.7,1.3,110.7,inf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Che Adams,3.0,3.0,0.0,439,6,146.3,2.0,146.3,inf,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Christian Benteke,3.0,3.0,0.0,408,5,136.0,1.7,136.0,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Gareth Bale,3.0,3.0,0.0,220,3,73.3,1.0,73.3,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ilkay Gündogan,3.0,3.0,0.0,327,5,109.0,1.7,109.0,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Bruno Fernandes,3.0,2.0,1.0,530,6,176.7,2.0,265.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Bukayo Saka,3.0,2.0,1.0,407,5,135.7,1.7,203.5,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Fábio Silva,3.0,2.0,1.0,205,4,68.3,1.3,102.5,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kai Havertz,3.0,2.0,1.0,198,3,66.0,1.0,99.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bertrand Traoré,3.0,1.0,2.0,357,5,119.0,1.7,357.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jack Grealish,3.0,1.0,2.0,270,3,90.0,1.0,270.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
