player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Harry Kane,15.0,9.0,6.0,1482,17,98.8,1.1,164.7,2.8,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0
Mohamed Salah,13.0,13.0,0.0,1431,17,110.1,1.3,110.1,inf,7.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0
Ollie Watkins,13.0,10.0,3.0,1709,19,131.5,1.5,170.9,6.3,5.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0
Bruno Fernandes,13.0,9.0,4.0,1417,18,109.0,1.4,157.4,4.5,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
Heung-min Son,13.0,9.0,4.0,1517,18,116.7,1.4,168.6,4.5,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0
Matheus Pereira,12.0,6.0,6.0,1280,17,106.7,1.4,213.3,2.8,5.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jamie Vardy,10.0,9.0,1.0,1356,16,135.6,1.6,150.7,16.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0
Callum Wilson,10.0,8.0,2.0,1128,14,112.8,1.4,141.0,7.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
Sadio Mané,9.0,6.0,3.0,1426,17,158.4,1.9,237.7,5.7,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
Patrick Bamford,9.0,4.0,5.0,1465,18,162.8,2.0,366.2,3.6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
Jack Grealish,9.0,3.0,6.0,1081,13,120.1,1.4,360.3,2.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Raheem Sterling,8.0,5.0,3.0,1385,17,173.1,2.1,277.0,5.7,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Roberto Firmino,8.0,5.0,3.0,1464,18,183.0,2.2,292.8,6.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
Bertrand Traoré,8.0,4.0,4.0,1193,19,149.1,2.4,298.2,4.8,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,8.0,4.0,4.0,1800,20,225.0,2.5,450.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Danny Ings,7.0,5.0,2.0,1105,15,157.9,2.1,221.0,7.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Dominic Calvert-Lewin,7.0,5.0,2.0,1365,16,195.0,2.3,273.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
Jesse Lingard,7.0,5.0,2.0,627,7,89.6,1.0,125.4,3.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Michail Antonio,7.0,5.0,2.0,951,12,135.9,1.7,190.2,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
Phil Foden,7.0,5.0,2.0,801,15,114.4,2.1,160.2,7.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
James Maddison,7.0,3.0,4.0,1004,15,143.4,2.1,334.7,3.8,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Marcus Rashford,7.0,3.0,4.0,1440,18,205.7,2.6,480.0,4.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Raphinha,7.0,2.0,5.0,1097,13,156.7,1.9,548.5,2.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alexandre Lacazette,6.0,6.0,0.0,1001,15,166.8,2.5,166.8,inf,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0
Diogo Jota,6.0,6.0,0.0,433,9,72.2,1.5,72.2,inf,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
