player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Counter attack goal,Direct free kick,Header,Left-footed shot,Penalty,Penalty rebound,Right-footed shot
Matheus Pereira,7.0,2.0,5.0,557,7,79.6,1.0,278.5,1.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Heung-min Son,6.0,5.0,1.0,700,8,116.7,1.3,140.0,8.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Ollie Watkins,6.0,4.0,2.0,719,8,119.8,1.3,179.8,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jack Grealish,6.0,2.0,4.0,450,5,75.0,0.8,225.0,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
James Maddison,5.0,3.0,2.0,470,8,94.0,1.6,156.7,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Callum Robinson,4.0,4.0,0.0,265,5,66.2,1.2,66.2,inf,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jamie Vardy,4.0,4.0,0.0,703,8,175.8,2.0,175.8,inf,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bertrand Traoré,4.0,3.0,1.0,543,8,135.8,2.0,181.0,8.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Dominic Calvert-Lewin,4.0,2.0,2.0,568,7,142.0,1.8,284.0,3.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Harry Kane,4.0,2.0,2.0,585,7,146.2,1.8,292.5,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
James Ward-Prowse,4.0,2.0,2.0,720,8,180.0,2.0,360.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
John McGinn,4.0,2.0,2.0,720,8,180.0,2.0,360.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Phil Foden,4.0,2.0,2.0,216,4,54.0,1.0,108.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
David McGoldrick,3.0,3.0,0.0,395,8,131.7,2.7,131.7,inf,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ilkay Gündogan,3.0,3.0,0.0,364,5,121.3,1.7,121.3,inf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Mohamed Salah,3.0,3.0,0.0,512,6,170.7,2.0,170.7,inf,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Stuart Dallas,3.0,3.0,0.0,720,8,240.0,2.7,240.0,inf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Che Adams,3.0,2.0,1.0,522,7,174.0,2.3,261.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Harvey Barnes,3.0,2.0,1.0,422,5,140.7,1.7,211.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Leandro Trossard,3.0,2.0,1.0,601,8,200.3,2.7,300.5,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Patrick Bamford,3.0,2.0,1.0,592,8,197.3,2.7,296.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Roberto Firmino,3.0,2.0,1.0,500,6,166.7,2.0,250.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sadio Mané,3.0,2.0,1.0,466,6,155.3,2.0,233.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
James Rodríguez,3.0,1.0,2.0,322,5,107.3,1.7,322.0,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kevin De Bruyne,3.0,1.0,2.0,356,4,118.7,1.3,356.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilfred Ndidi,3.0,1.0,2.0,533,6,177.7,2.0,533.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alexandre Lacazette,2.0,2.0,0.0,468,8,234.0,4.0,234.0,inf,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Anwar El Ghazi,2.0,2.0,0.0,381,7,190.5,3.5,190.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bruno Fernandes,2.0,2.0,0.0,539,6,269.5,3.0,269.5,inf,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Danny Ings,2.0,2.0,0.0,363,5,181.5,2.5,181.5,inf,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Gylfi Sigurdsson,2.0,2.0,0.0,438,8,219.0,4.0,219.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Joe Willock,2.0,2.0,0.0,310,5,155.0,2.5,155.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mbaye Diagne,2.0,2.0,0.0,180,2,90.0,1.0,90.0,inf,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Michail Antonio,2.0,2.0,0.0,305,4,152.5,2.0,152.5,inf,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Raheem Sterling,2.0,2.0,0.0,540,6,270.0,3.0,270.0,inf,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Richarlison,2.0,2.0,0.0,614,7,307.0,3.5,307.0,inf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wilfried Zaha,2.0,2.0,0.0,540,6,270.0,3.0,270.0,inf,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Abdoulaye Doucouré,2.0,1.0,1.0,576,7,288.0,3.5,576.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
