league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Bundesliga,Robert Lewandowski,FC Schalke 04_H_1,18,8:0,31',3:0,Penalty
Bundesliga,Robert Lewandowski,Hertha BSC_H_1,9,4:3,40',1:0,Right-footed shot
Bundesliga,Robert Lewandowski,Arm. Bielefeld_A_1,10,1:4,25',0:2,Right-footed shot
Bundesliga,Robert Lewandowski,E. Frankfurt_H_1,4,5:0,10',1:0,Left-footed shot
Bundesliga,Robert Lewandowski,Bor. Dortmund_A_1,2,2:3,48',1:2,Header
Bundesliga,Robert Lewandowski,VfB Stuttgart_A_1,8,1:3,45'+1,1:2,Right-footed shot
Bundesliga,Robert Lewandowski,Union Berlin_A_1,6,1:1,67',1:1,Right-footed shot
Bundesliga,Robert Lewandowski,VfL Wolfsburg_H_1,4,2:1,45'+1,1:1,Header
Bundesliga,Robert Lewandowski,Bay. Leverkusen_A_1,1,1:2,43',1:1,Header
Bundesliga,Robert Lewandowski,1.FSV Mainz 05_H_1,17,5:2,76',4:2,Penalty
Bundesliga,Robert Lewandowski,Bor. M'gladbach_A_1,7,3:2,20',0:1,Penalty
Bundesliga,Robert Lewandowski,SC Freiburg_H_1,8,2:1,7',1:0,Left-footed shot
Bundesliga,Robert Lewandowski,FC Augsburg_A_1,11,0:1,13',0:1,Penalty
Bundesliga,Robert Lewandowski,FC Schalke 04_A_1,18,0:4,54',0:2,Right-footed shot
Bundesliga,Robert Lewandowski,TSG Hoffenheim_H_1,11,4:1,57',3:1,Right-footed shot
Bundesliga,Robert Lewandowski,Arm. Bielefeld_H_1,16,3:3,48',1:2,Right-footed shot
Bundesliga,Robert Lewandowski,E. Frankfurt_A_1,3,2:1,53',2:1,Right-footed shot
Bundesliga,Robert Lewandowski,1. FC Köln_H_1,14,5:1,33',2:0,Right-footed shot
Bundesliga,Robert Lewandowski,Bor. Dortmund_H_1,5,4:2,26',1:2,Right-footed shot
Bundesliga,Robert Lewandowski,Werder Bremen_A_1,12,1:3,67',0:3,Right-footed shot
Bundesliga,Robert Lewandowski,VfB Stuttgart_H_1,8,4:0,18',1:0,Right-footed shot
Bundesliga,Robert Lewandowski,1.FSV Mainz 05_A_1,13,2:1,90'+4,2:1,Right-footed shot
Bundesliga,Robert Lewandowski,Bor. M'gladbach_H_1,7,6:0,2',1:0,Right-footed shot
Bundesliga,Robert Lewandowski,SC Freiburg_A_1,9,2:2,26',0:1,Penalty
Bundesliga,Robert Lewandowski,FC Augsburg_H_1,12,5:2,90',5:2,Right-footed shot
