match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
1,9/18/20,H,Robert Lewandowski,Bayern Munich,FC Schalke 04,18,8:0,1,2,90'
2,9/27/20,A,Robert Lewandowski,Bayern Munich,TSG Hoffenheim,11,4:1,,,33'
3,10/4/20,H,Robert Lewandowski,Bayern Munich,Hertha BSC,14,4:3,4,,90'
4,10/17/20,A,Robert Lewandowski,Bayern Munich,Arm. Bielefeld,15,1:4,2,1,86'
5,10/24/20,H,Robert Lewandowski,Bayern Munich,E. Frankfurt,5,5:0,3,,68'
7,11/7/20,A,Robert Lewandowski,Bayern Munich,Bor. Dortmund,3,2:3,1,1,90'
8,11/21/20,H,Robert Lewandowski,Bayern Munich,Werder Bremen,17,1:1,,,90'
9,11/28/20,A,Robert Lewandowski,Bayern Munich,VfB Stuttgart,9,1:3,1,,90'
10,12/5/20,H,Robert Lewandowski,Bayern Munich,RB Leipzig,2,3:3,,,90'
11,12/12/20,A,Robert Lewandowski,Bayern Munich,Union Berlin,7,1:1,1,,90'
12,12/16/20,H,Robert Lewandowski,Bayern Munich,VfL Wolfsburg,4,2:1,2,,90'
13,12/19/20,A,Robert Lewandowski,Bayern Munich,Bay. Leverkusen,6,1:2,2,,90'
14,1/3/21,H,Robert Lewandowski,Bayern Munich,1.FSV Mainz 05,12,5:2,2,1,90'
15,1/8/21,A,Robert Lewandowski,Bayern Munich,Bor. M'gladbach,8,3:2,1,,90'
16,1/17/21,H,Robert Lewandowski,Bayern Munich,SC Freiburg,10,2:1,1,,90'
17,1/20/21,A,Robert Lewandowski,Bayern Munich,FC Augsburg,13,0:1,1,,67'
18,1/24/21,A,Robert Lewandowski,Bayern Munich,FC Schalke 04,18,0:4,1,,80'
19,1/30/21,H,Robert Lewandowski,Bayern Munich,TSG Hoffenheim,11,4:1,1,1,90'
20,2/5/21,A,Robert Lewandowski,Bayern Munich,Hertha BSC,14,0:1,,,90'
21,2/15/21,H,Robert Lewandowski,Bayern Munich,Arm. Bielefeld,15,3:3,1,,90'
22,2/20/21,A,Robert Lewandowski,Bayern Munich,E. Frankfurt,5,2:1,1,,90'
23,2/27/21,H,Robert Lewandowski,Bayern Munich,1. FC Köln,16,5:1,2,,90'
24,3/6/21,H,Robert Lewandowski,Bayern Munich,Bor. Dortmund,3,4:2,3,,90'
25,3/13/21,A,Robert Lewandowski,Bayern Munich,Werder Bremen,17,1:3,1,,79'
26,3/20/21,H,Robert Lewandowski,Bayern Munich,VfB Stuttgart,9,4:0,3,,70'
31,4/24/21,A,Robert Lewandowski,Bayern Munich,1.FSV Mainz 05,12,2:1,1,,90'
32,5/8/21,H,Robert Lewandowski,Bayern Munich,Bor. M'gladbach,8,6:0,3,1,90'
33,5/15/21,A,Robert Lewandowski,Bayern Munich,SC Freiburg,10,2:2,1,,90'
34,5/22/21,H,Robert Lewandowski,Bayern Munich,FC Augsburg,13,5:2,1,,90'
1,9/19/20,H,André Silva,Eintracht Frankfurt,Arm. Bielefeld,15,1:1,1,,90'
2,9/25/20,A,André Silva,Eintracht Frankfurt,Hertha BSC,14,1:3,1,,85'
