league,player,team_venue_goal_number,opponent_current_position,opponent_final_position,final_score,minute,current_score,goal_type
LaLiga,Lionel Messi,Villarreal_H_1,6,7,4:0,35',3:0,Penalty
LaLiga,Lionel Messi,Real Betis_H_1,8,6,5:2,61',3:1,Penalty
LaLiga,Lionel Messi,CA Osasuna_H_1,14,11,4:0,73',4:0,Left-footed shot
LaLiga,Lionel Messi,Levante_H_1,17,14,1:0,76',1:0,Left-footed shot
LaLiga,Lionel Messi,Valencia_H_1,14,13,2:2,45'+4,1:1,Header
LaLiga,Lionel Messi,Real Valladolid_A_1,18,19,0:3,65',0:3,Left-footed shot
LaLiga,Lionel Messi,Athletic_A_1,18,10,2:3,38',1:2,Left-footed shot
LaLiga,Lionel Messi,Granada CF_A_1,7,9,0:4,35',0:2,Left-footed shot
LaLiga,Lionel Messi,Athletic_H_1,11,10,2:1,20',1:0,Direct free kick
LaLiga,Lionel Messi,Real Betis_A_1,7,6,2:3,59',1:1,Left-footed shot
LaLiga,Lionel Messi,Alavés_H_1,15,16,5:1,45'+1,2:0,Left-footed shot
LaLiga,Lionel Messi,Cádiz CF_H_1,15,12,1:1,32',1:0,Penalty
LaLiga,Lionel Messi,Elche CF_H_1,17,17,3:0,48',1:0,Left-footed shot
LaLiga,Lionel Messi,Sevilla FC_A_1,3,4,0:2,85',0:2,Right-footed shot
LaLiga,Lionel Messi,SD Huesca_H_1,20,18,4:1,13',1:0,Left-footed shot
LaLiga,Lionel Messi,Real Sociedad_A_1,5,5,1:6,56',0:4,Left-footed shot
LaLiga,Lionel Messi,Getafe_H_1,15,15,5:2,8',1:0,Left-footed shot
LaLiga,Lionel Messi,Granada CF_H_1,8,9,1:2,23',1:0,Left-footed shot
LaLiga,Lionel Messi,Valencia_A_1,14,13,2:3,57',1:1,Left-footed shot
LaLiga,Lionel Messi,Levante_A_1,14,14,3:3,25',0:1,Left-footed shot
LaLiga,Lionel Messi,Celta de Vigo_H_1,8,8,1:2,28',1:0,Header
LaLiga,Karim Benzema,Levante_A_1,13,14,0:2,90'+5,0:2,Counter attack goal
LaLiga,Karim Benzema,SD Huesca_H_1,19,18,4:1,45',2:0,Left-footed shot
LaLiga,Karim Benzema,Valencia_A_1,14,13,4:1,23',0:1,Right-footed shot
LaLiga,Karim Benzema,Athletic_H_1,12,10,3:1,74',2:1,Header
LaLiga,Karim Benzema,SD Eibar_A_1,11,20,1:3,6',0:1,Left-footed shot
LaLiga,Karim Benzema,Granada CF_H_1,6,9,2:0,90'+3,2:0,Counter attack goal
