match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
3,9/27/20,H,Lionel Messi,FC Barcelona,Villarreal,7,4:0,1,1,90'
4,10/1/20,A,Lionel Messi,FC Barcelona,Celta de Vigo,8,0:3,,1,90'
5,10/4/20,H,Lionel Messi,FC Barcelona,Sevilla FC,4,1:1,,,90'
6,10/17/20,A,Lionel Messi,FC Barcelona,Getafe,15,1:0,,,90'
7,10/24/20,H,Lionel Messi,FC Barcelona,Real Madrid,2,1:3,,,90'
8,10/31/20,A,Lionel Messi,FC Barcelona,Alavés,16,1:1,,,90'
9,11/7/20,H,Lionel Messi,FC Barcelona,Real Betis,6,5:2,2,,45'
10,11/21/20,A,Lionel Messi,FC Barcelona,Atlético Madrid,1,1:0,,,90'
11,11/29/20,H,Lionel Messi,FC Barcelona,CA Osasuna,11,4:0,1,,90'
12,12/5/20,A,Lionel Messi,FC Barcelona,Cádiz CF,12,2:1,,,90'
13,12/13/20,H,Lionel Messi,FC Barcelona,Levante,14,1:0,1,,90'
19,12/16/20,H,Lionel Messi,FC Barcelona,Real Sociedad,5,2:1,,,90'
14,12/19/20,H,Lionel Messi,FC Barcelona,Valencia,13,2:2,1,,90'
15,12/22/20,A,Lionel Messi,FC Barcelona,Real Valladolid,19,0:3,1,1,90'
17,1/3/21,A,Lionel Messi,FC Barcelona,SD Huesca,18,0:1,,1,90'
2,1/6/21,A,Lionel Messi,FC Barcelona,Athletic,10,2:3,2,,90'
18,1/9/21,A,Lionel Messi,FC Barcelona,Granada CF,9,0:4,2,,65'
21,1/31/21,H,Lionel Messi,FC Barcelona,Athletic,10,2:1,1,,90'
22,2/7/21,A,Lionel Messi,FC Barcelona,Real Betis,6,2:3,1,,33'
23,2/13/21,H,Lionel Messi,FC Barcelona,Alavés,16,5:1,2,1,90'
24,2/21/21,H,Lionel Messi,FC Barcelona,Cádiz CF,12,1:1,1,,90'
1,2/24/21,H,Lionel Messi,FC Barcelona,Elche CF,17,3:0,2,,90'
25,2/27/21,A,Lionel Messi,FC Barcelona,Sevilla FC,4,0:2,1,1,90'
26,3/6/21,A,Lionel Messi,FC Barcelona,CA Osasuna,11,0:2,,2,90'
27,3/15/21,H,Lionel Messi,FC Barcelona,SD Huesca,18,4:1,2,1,90'
28,3/21/21,A,Lionel Messi,FC Barcelona,Real Sociedad,5,1:6,2,1,90'
29,4/5/21,H,Lionel Messi,FC Barcelona,Real Valladolid,19,1:0,,,90'
30,4/10/21,A,Lionel Messi,FC Barcelona,Real Madrid,2,2:1,,,90'
31,4/22/21,H,Lionel Messi,FC Barcelona,Getafe,15,5:2,2,1,90'
32,4/25/21,A,Lionel Messi,FC Barcelona,Villarreal,7,1:2,,,90'
33,4/29/21,H,Lionel Messi,FC Barcelona,Granada CF,9,1:2,1,,90'
34,5/2/21,A,Lionel Messi,FC Barcelona,Valencia,13,2:3,2,,90'
35,5/8/21,H,Lionel Messi,FC Barcelona,Atlético Madrid,1,0:0,,,90'
36,5/11/21,A,Lionel Messi,FC Barcelona,Levante,14,3:3,1,,90'
37,5/16/21,H,Lionel Messi,FC Barcelona,Celta de Vigo,8,1:2,1,,90'
2,9/20/20,A,Karim Benzema,Real Madrid,Real Sociedad,5,0:0,,,90'
3,9/26/20,A,Karim Benzema,Real Madrid,Real Betis,6,2:3,,1,90'
4,9/30/20,H,Karim Benzema,Real Madrid,Real Valladolid,19,1:0,,,87'
5,10/4/20,A,Karim Benzema,Real Madrid,Levante,14,0:2,1,,90'
6,10/17/20,H,Karim Benzema,Real Madrid,Cádiz CF,12,0:1,,,90'
7,10/24/20,A,Karim Benzema,Real Madrid,Barcelona,3,1:3,,1,90'
8,10/31/20,H,Karim Benzema,Real Madrid,SD Huesca,18,4:1,2,1,90'
9,11/8/20,A,Karim Benzema,Real Madrid,Valencia,13,4:1,1,,76'
12,12/5/20,A,Karim Benzema,Real Madrid,Sevilla FC,4,0:1,,,90'
13,12/12/20,H,Karim Benzema,Real Madrid,Atlético Madrid,1,2:0,,,90'
19,12/15/20,H,Karim Benzema,Real Madrid,Athletic,10,3:1,2,,90'
14,12/20/20,A,Karim Benzema,Real Madrid,SD Eibar,20,1:3,1,2,90'
15,12/23/20,H,Karim Benzema,Real Madrid,Granada CF,9,2:0,1,,90'
16,12/30/20,A,Karim Benzema,Real Madrid,Elche CF,17,1:1,,,90'
17,1/2/21,H,Karim Benzema,Real Madrid,Celta de Vigo,8,2:0,,,90'
18,1/9/21,A,Karim Benzema,Real Madrid,CA Osasuna,11,0:0,,,90'
20,1/23/21,A,Karim Benzema,Real Madrid,Alavés,16,1:4,2,,90'
21,1/30/21,H,Karim Benzema,Real Madrid,Levante,14,1:2,,,82'
22,2/6/21,A,Karim Benzema,Real Madrid,SD Huesca,18,1:2,,,90'
1,2/9/21,H,Karim Benzema,Real Madrid,Getafe,15,2:0,1,,90'
23,2/14/21,H,Karim Benzema,Real Madrid,Valencia,13,2:0,1,,79'
26,3/7/21,A,Karim Benzema,Real Madrid,Atlético Madrid,1,1:1,1,,90'
27,3/13/21,H,Karim Benzema,Real Madrid,Elche CF,17,2:1,2,,90'
28,3/20/21,A,Karim Benzema,Real Madrid,Celta de Vigo,8,1:3,2,1,90'
29,4/3/21,H,Karim Benzema,Real Madrid,SD Eibar,20,2:0,1,,80'
30,4/10/21,H,Karim Benzema,Real Madrid,Barcelona,3,2:1,1,,72'
33,4/18/21,A,Karim Benzema,Real Madrid,Getafe,15,0:0,,,25'
31,4/21/21,A,Karim Benzema,Real Madrid,Cádiz CF,12,0:3,2,1,74'
32,4/24/21,H,Karim Benzema,Real Madrid,Real Betis,6,0:0,,,90'
34,5/1/21,H,Karim Benzema,Real Madrid,CA Osasuna,11,2:0,,1,90'
35,5/9/21,H,Karim Benzema,Real Madrid,Sevilla FC,4,2:2,,,90'
36,5/13/21,A,Karim Benzema,Real Madrid,Granada CF,9,1:4,1,,77'
37,5/16/21,A,Karim Benzema,Real Madrid,Athletic,10,0:1,,,90'
38,5/22/21,H,Karim Benzema,Real Madrid,Villarreal,7,2:1,1,1,90'
1,9/13/20,H,Gerard Moreno,Villarreal CF,SD Huesca,18,1:1,1,,90'
2,9/19/20,H,Gerard Moreno,Villarreal CF,SD Eibar,20,2:1,1,1,90'
3,9/27/20,A,Gerard Moreno,Villarreal CF,Barcelona,3,4:0,,,84'
4,9/30/20,H,Gerard Moreno,Villarreal CF,Alavés,16,3:1,1,,83'
5,10/3/20,A,Gerard Moreno,Villarreal CF,Atlético Madrid,1,0:0,,,90'
8,11/2/20,H,Gerard Moreno,Villarreal CF,Real Valladolid,19,2:0,,,83'
9,11/8/20,A,Gerard Moreno,Villarreal CF,Getafe,15,1:3,1,,86'
10,11/21/20,H,Gerard Moreno,Villarreal CF,Real Madrid,2,1:1,1,,90'
11,11/29/20,A,Gerard Moreno,Villarreal CF,Real Sociedad,5,1:1,1,,90'
12,12/6/20,H,Gerard Moreno,Villarreal CF,Elche CF,17,0:0,,,90'
13,12/13/20,A,Gerard Moreno,Villarreal CF,Real Betis,6,1:1,,,90'
14,12/19/20,A,Gerard Moreno,Villarreal CF,CA Osasuna,11,1:3,2,,89'
15,12/22/20,H,Gerard Moreno,Villarreal CF,Athletic,10,1:1,,,90'
16,12/29/20,A,Gerard Moreno,Villarreal CF,Sevilla FC,4,2:0,,,90'
17,1/2/21,H,Gerard Moreno,Villarreal CF,Levante,14,2:1,1,,90'
18,1/8/21,A,Gerard Moreno,Villarreal CF,Celta de Vigo,8,0:4,1,1,90'
22,2/6/21,A,Gerard Moreno,Villarreal CF,Elche CF,17,2:2,2,,50'
23,2/14/21,H,Gerard Moreno,Villarreal CF,Real Betis,6,1:2,1,,90'
24,2/21/21,A,Gerard Moreno,Villarreal CF,Athletic,10,1:1,1,,90'
25,2/28/21,H,Gerard Moreno,Villarreal CF,Atlético Madrid,1,0:2,,,90'
26,3/5/21,A,Gerard Moreno,Villarreal CF,Valencia,13,2:1,1,,90'
27,3/14/21,A,Gerard Moreno,Villarreal CF,SD Eibar,20,1:3,,2,90'
28,3/21/21,H,Gerard Moreno,Villarreal CF,Cádiz CF,12,2:1,1,1,90'
29,4/3/21,A,Gerard Moreno,Villarreal CF,Granada CF,9,0:3,3,,63'
30,4/11/21,H,Gerard Moreno,Villarreal CF,CA Osasuna,11,1:2,,,45'
