league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Premier League,Harry Kane,Southampton_A_1,13,2:5,82',1:5,Tap-in
Premier League,Harry Kane,Man Utd_A_1,9,1:6,30',1:3,Right-footed shot
Premier League,Harry Kane,West Ham_H_1,11,3:3,8',2:0,Right-footed shot
Premier League,Harry Kane,Brighton_H_1,16,2:1,13',1:0,Penalty
Premier League,Harry Kane,West Brom_A_1,18,0:1,88',0:1,Header
Premier League,Harry Kane,Arsenal_H_1,14,2:0,45'+1,2:0,Counter attack goal
Premier League,Harry Kane,Crystal Palace_A_1,12,1:1,23',0:1,Long distance kick
Premier League,Harry Kane,Leeds_H_1,11,3:0,29',1:0,Penalty
Premier League,Harry Kane,Fulham_H_1,18,1:1,25',1:0,Header
Premier League,Harry Kane,Sheff Utd_A_1,20,1:3,40',0:2,Right-footed shot
Premier League,Harry Kane,West Brom_H_1,19,2:0,54',1:0,Right-footed shot
Premier League,Harry Kane,Burnley_H_1,15,4:0,15',2:0,Right-footed shot
Premier League,Harry Kane,Crystal Palace_H_1,13,4:1,52',3:1,Right-footed shot
Premier League,Harry Kane,Aston Villa_A_1,6,0:2,68',0:2,Penalty
Premier League,Harry Kane,Newcastle_A_1,17,2:2,30',1:1,Right-footed shot
Premier League,Harry Kane,Everton_A_1,8,2:2,27',0:1,Left-footed shot
Premier League,Harry Kane,Wolves_H_1,12,2:0,45',1:0,Right-footed shot
Premier League,Harry Kane,Leicester_A_1,5,2:4,41',1:1,Right-footed shot
Premier League,Mohamed Salah,Leeds_H_1,9,4:3,4',1:0,Penalty
Premier League,Mohamed Salah,Aston Villa_A_1,6,7:2,33',2:1,Left-footed shot
Premier League,Mohamed Salah,Everton_A_1,1,2:2,72',1:2,Left-footed shot
Premier League,Mohamed Salah,West Ham_H_1,14,2:1,42',1:1,Penalty
Premier League,Mohamed Salah,Man City_A_1,4,1:1,13',0:1,Penalty
Premier League,Mohamed Salah,Wolves_H_1,9,4:0,24',1:0,Left-footed shot
Premier League,Mohamed Salah,Fulham_A_1,17,1:1,79',1:1,Penalty
Premier League,Mohamed Salah,Spurs_H_1,1,2:1,26',1:0,Left-footed shot
Premier League,Mohamed Salah,Crystal Palace_A_1,12,0:7,81',0:6,Header
Premier League,Mohamed Salah,West Ham_A_1,6,1:3,57',0:1,Left-footed shot
Premier League,Mohamed Salah,Man City_H_1,1,1:4,63',1:1,Penalty
Premier League,Mohamed Salah,Leicester_A_1,3,3:1,67',0:1,Left-footed shot
Premier League,Mohamed Salah,Arsenal_A_1,10,0:3,68',0:2,Right-footed shot
Premier League,Mohamed Salah,Aston Villa_H_1,9,2:1,57',1:1,Header
Premier League,Mohamed Salah,Newcastle_H_1,15,1:1,3',1:0,Left-footed shot
Premier League,Mohamed Salah,Man Utd_A_1,2,2:4,90',2:4,Counter attack goal
Premier League,Mohamed Salah,West Brom_A_1,19,1:2,33',1:1,Left-footed shot
Premier League,Bruno Fernandes,Brighton_A_1,8,2:3,90'+10,2:3,Penalty
Premier League,Bruno Fernandes,Spurs_H_1,10,1:6,2',1:0,Penalty
Premier League,Bruno Fernandes,Newcastle_A_1,10,1:4,86',1:2,Counter attack goal
Premier League,Bruno Fernandes,Everton_A_1,5,1:3,25',1:1,Header
Premier League,Bruno Fernandes,West Brom_H_1,18,1:0,56',1:0,Penalty
Premier League,Bruno Fernandes,Southampton_A_1,5,2:3,59',2:1,Right-footed shot
Premier League,Bruno Fernandes,Leeds_H_1,13,6:2,20',3:0,Right-footed shot
Premier League,Bruno Fernandes,Leicester_A_1,3,2:2,79',1:2,Right-footed shot
Premier League,Bruno Fernandes,Aston Villa_H_1,4,2:1,61',2:1,Penalty
Premier League,Bruno Fernandes,Southampton_H_1,12,9:0,87',7:0,Penalty
Premier League,Bruno Fernandes,Everton_H_1,6,3:3,45',2:0,Right-footed shot
Premier League,Bruno Fernandes,West Brom_A_1,19,1:1,44',1:1,Left-footed shot
Premier League,Bruno Fernandes,Newcastle_H_1,17,3:1,75',3:1,Penalty
