league,player,team_venue_goal_number,opponent_current_position,opponent_final_position,final_score,minute,current_score,goal_type
Serie A,Cristiano Ronaldo,Sampdoria_H_1,9,9,3:0,88',3:0,Right-footed shot
Serie A,Cristiano Ronaldo,AS Roma_A_1,19,7,2:2,44',1:1,Penalty
Serie A,Cristiano Ronaldo,Spezia Calcio_A_1,14,15,1:4,59',1:2,Right-footed shot
Serie A,Cristiano Ronaldo,Lazio_A_1,10,6,1:1,15',0:1,Right-footed shot
Serie A,Cristiano Ronaldo,Cagliari Calcio_H_1,10,16,2:0,38',1:0,Right-footed shot
Serie A,Cristiano Ronaldo,Genoa_A_1,19,11,1:3,78',1:2,Penalty
Serie A,Cristiano Ronaldo,Parma_A_1,14,20,0:4,26',0:2,Header
Serie A,Cristiano Ronaldo,Udinese Calcio_H_1,12,13,4:1,31',1:0,Right-footed shot
Serie A,Cristiano Ronaldo,Sassuolo_H_1,6,8,3:1,90'+2,3:1,Right-footed shot
Serie A,Cristiano Ronaldo,AS Roma_H_1,4,7,2:0,13',1:0,Left-footed shot
Serie A,Cristiano Ronaldo,Crotone_H_1,20,19,3:0,38',1:0,Header
Serie A,Cristiano Ronaldo,Hellas Verona_A_1,9,10,1:1,49',0:1,Right-footed shot
Serie A,Cristiano Ronaldo,Spezia Calcio_H_1,15,15,3:0,89',3:0,Counter attack goal
Serie A,Cristiano Ronaldo,Cagliari Calcio_A_1,18,16,1:3,10',0:1,Header
Serie A,Cristiano Ronaldo,Torino_A_1,17,17,2:2,79',2:2,Header
Serie A,Cristiano Ronaldo,SSC Napoli_H_1,1,5,2:1,13',1:0,Right-footed shot
Serie A,Cristiano Ronaldo,Udinese Calcio_A_1,11,13,1:2,83',1:1,Penalty
Serie A,Cristiano Ronaldo,Sassuolo_A_1,8,8,1:3,45',0:2,Left-footed shot
Serie A,Cristiano Ronaldo,Inter_H_1,1,1,3:2,24',1:0,Penalty rebound
Serie A,Romelu Lukaku,Fiorentina_H_1,9,14,4:3,87',3:3,Right-footed shot
Serie A,Romelu Lukaku,Benevento_A_1,18,18,2:5,1',0:1,Right-footed shot
Serie A,Romelu Lukaku,AC Milan_H_1,2,2,1:2,29',1:2,Left-footed shot
Serie A,Romelu Lukaku,Genoa_A_1,11,11,0:2,64',0:1,Left-footed shot
Serie A,Romelu Lukaku,Torino_H_1,17,17,4:2,67',2:2,Left-footed shot
Serie A,Romelu Lukaku,Bologna_H_1,10,12,3:1,16',1:0,Left-footed shot
Serie A,Romelu Lukaku,Cagliari Calcio_A_1,11,16,1:3,90'+4,1:3,Counter attack goal
Serie A,Romelu Lukaku,SSC Napoli_H_1,2,5,1:0,73',1:0,Penalty
Serie A,Romelu Lukaku,Spezia Calcio_H_1,16,15,2:1,71',2:0,Penalty
Serie A,Romelu Lukaku,Crotone_H_1,19,19,6:2,64',4:2,Left-footed shot
Serie A,Romelu Lukaku,Benevento_H_1,11,18,4:0,67',3:0,Left-footed shot
Serie A,Romelu Lukaku,Lazio_H_1,4,6,3:1,22',1:0,Penalty
Serie A,Romelu Lukaku,AC Milan_A_1,2,2,0:3,66',0:3,Solo run
Serie A,Romelu Lukaku,Genoa_H_1,11,11,3:0,1',1:0,Counter attack goal
Serie A,Romelu Lukaku,Torino_A_1,17,17,1:2,62',0:1,Penalty
