player,team,team_position,opponent,opponent_position,goals,assists
Robert Lewandowski,FC Schalke 04,18,FC Schalke 04,18,1,2
Robert Lewandowski,TSG Hoffenheim,11,TSG Hoffenheim,11,,
Robert Lewandowski,Hertha BSC,14,Hertha BSC,14,4,
Robert Lewandowski,Arm. Bielefeld,15,Arm. Bielefeld,15,2,1
Robert Lewandowski,E. Frankfurt,5,E. Frankfurt,5,3,
Robert Lewandowski,Bor. Dortmund,3,Bor. Dortmund,3,1,1
Robert Lewandowski,Werder Bremen,17,Werder Bremen,17,,
Robert Lewandowski,VfB Stuttgart,9,VfB Stuttgart,9,1,
Robert Lewandowski,RB Leipzig,2,RB Leipzig,2,,
Robert Lewandowski,Union Berlin,7,Union Berlin,7,1,
Robert Lewandowski,VfL Wolfsburg,4,VfL Wolfsburg,4,2,
Robert Lewandowski,Bay. Leverkusen,6,Bay. Leverkusen,6,2,
Robert Lewandowski,1.FSV Mainz 05,12,1.FSV Mainz 05,12,2,1
Robert Lewandowski,Bor. M'gladbach,8,Bor. M'gladbach,8,1,
Robert Lewandowski,SC Freiburg,10,SC Freiburg,10,1,
Robert Lewandowski,FC Augsburg,13,FC Augsburg,13,1,
Robert Lewandowski,FC Schalke 04,18,FC Schalke 04,18,1,
Robert Lewandowski,TSG Hoffenheim,11,TSG Hoffenheim,11,1,1
Robert Lewandowski,Hertha BSC,14,Hertha BSC,14,,
Robert Lewandowski,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
Robert Lewandowski,E. Frankfurt,5,E. Frankfurt,5,1,
Robert Lewandowski,1. FC Köln,16,1. FC Köln,16,2,
Robert Lewandowski,Bor. Dortmund,3,Bor. Dortmund,3,3,
Robert Lewandowski,Werder Bremen,17,Werder Bremen,17,1,
Robert Lewandowski,VfB Stuttgart,9,VfB Stuttgart,9,3,
Robert Lewandowski,1.FSV Mainz 05,12,1.FSV Mainz 05,12,1,
Robert Lewandowski,Bor. M'gladbach,8,Bor. M'gladbach,8,3,1
Robert Lewandowski,SC Freiburg,10,SC Freiburg,10,1,
Robert Lewandowski,FC Augsburg,13,FC Augsburg,13,1,
André Silva,Arm. Bielefeld,15,Arm. Bielefeld,15,1,
André Silva,Hertha BSC,14,Hertha BSC,14,1,
André Silva,TSG Hoffenheim,11,TSG Hoffenheim,11,,1
André Silva,1. FC Köln,16,1. FC Köln,16,1,
André Silva,FC Bayern,1,FC Bayern,1,,
André Silva,Werder Bremen,17,Werder Bremen,17,1,
André Silva,VfB Stuttgart,9,VfB Stuttgart,9,1,
André Silva,RB Leipzig,2,RB Leipzig,2,,
André Silva,Union Berlin,7,Union Berlin,7,2,
André Silva,Bor. Dortmund,3,Bor. Dortmund,3,,
André Silva,Bor. M'gladbach,8,Bor. M'gladbach,8,2,1
André Silva,FC Augsburg,13,FC Augsburg,13,,1
André Silva,Bay. Leverkusen,6,Bay. Leverkusen,6,,
André Silva,1.FSV Mainz 05,12,1.FSV Mainz 05,12,2,
André Silva,FC Schalke 04,18,FC Schalke 04,18,1,
André Silva,SC Freiburg,10,SC Freiburg,10,,
André Silva,Arm. Bielefeld,15,Arm. Bielefeld,15,2,
André Silva,Hertha BSC,14,Hertha BSC,14,2,
André Silva,TSG Hoffenheim,11,TSG Hoffenheim,11,1,
André Silva,1. FC Köln,16,1. FC Köln,16,1,
André Silva,Werder Bremen,17,Werder Bremen,17,1,
André Silva,VfB Stuttgart,9,VfB Stuttgart,9,,
André Silva,RB Leipzig,2,RB Leipzig,2,,1
André Silva,Union Berlin,7,Union Berlin,7,2,1
André Silva,Bor. Dortmund,3,Bor. Dortmund,3,1,
André Silva,VfL Wolfsburg,4,VfL Wolfsburg,4,1,2
André Silva,Bor. M'gladbach,8,Bor. M'gladbach,8,,
André Silva,FC Augsburg,13,FC Augsburg,13,1,
André Silva,Bay. Leverkusen,6,Bay. Leverkusen,6,1,
