player,team,team_position,opponent,opponent_position,goals,assists
Lionel Messi,Villarreal,7,Villarreal,7,1,1
Lionel Messi,Celta de Vigo,8,Celta de Vigo,8,,1
Lionel Messi,Sevilla FC,4,Sevilla FC,4,,
Lionel Messi,Getafe,15,Getafe,15,,
Lionel Messi,Real Madrid,2,Real Madrid,2,,
Lionel Messi,Alavés,16,Alavés,16,,
Lionel Messi,Real Betis,6,Real Betis,6,2,
Lionel Messi,Atlético Madrid,1,Atlético Madrid,1,,
Lionel Messi,CA Osasuna,11,CA Osasuna,11,1,
Lionel Messi,Cádiz CF,12,Cádiz CF,12,,
Lionel Messi,Levante,14,Levante,14,1,
Lionel Messi,Real Sociedad,5,Real Sociedad,5,,
Lionel Messi,Valencia,13,Valencia,13,1,
Lionel Messi,Real Valladolid,19,Real Valladolid,19,1,1
Lionel Messi,SD Huesca,18,SD Huesca,18,,1
Lionel Messi,Athletic,10,Athletic,10,2,
Lionel Messi,Granada CF,9,Granada CF,9,2,
Lionel Messi,Athletic,10,Athletic,10,1,
Lionel Messi,Real Betis,6,Real Betis,6,1,
Lionel Messi,Alavés,16,Alavés,16,2,1
Lionel Messi,Cádiz CF,12,Cádiz CF,12,1,
Lionel Messi,Elche CF,17,Elche CF,17,2,
Lionel Messi,Sevilla FC,4,Sevilla FC,4,1,1
Lionel Messi,CA Osasuna,11,CA Osasuna,11,,2
Lionel Messi,SD Huesca,18,SD Huesca,18,2,1
Lionel Messi,Real Sociedad,5,Real Sociedad,5,2,1
Lionel Messi,Real Valladolid,19,Real Valladolid,19,,
Lionel Messi,Real Madrid,2,Real Madrid,2,,
Lionel Messi,Getafe,15,Getafe,15,2,1
Lionel Messi,Villarreal,7,Villarreal,7,,
Lionel Messi,Granada CF,9,Granada CF,9,1,
Lionel Messi,Valencia,13,Valencia,13,2,
Lionel Messi,Atlético Madrid,1,Atlético Madrid,1,,
Lionel Messi,Levante,14,Levante,14,1,
Lionel Messi,Celta de Vigo,8,Celta de Vigo,8,1,
Karim Benzema,Real Sociedad,5,Real Sociedad,5,,
Karim Benzema,Real Betis,6,Real Betis,6,,1
Karim Benzema,Real Valladolid,19,Real Valladolid,19,,
Karim Benzema,Levante,14,Levante,14,1,
Karim Benzema,Cádiz CF,12,Cádiz CF,12,,
Karim Benzema,FC Barcelona,3,FC Barcelona,3,,1
Karim Benzema,SD Huesca,18,SD Huesca,18,2,1
Karim Benzema,Valencia,13,Valencia,13,1,
