player,team,team_position,opponent,opponent_position,goals,assists
Harry Kane,Everton,10,Everton,10,,
Harry Kane,Southampton,15,Southampton,15,1,4
Harry Kane,Newcastle,12,Newcastle,12,,1
Harry Kane,Man Utd,2,Man Utd,2,2,1
Harry Kane,West Ham,6,West Ham,6,2,1
Harry Kane,Burnley,17,Burnley,17,,1
Harry Kane,Brighton,16,Brighton,16,1,
Harry Kane,West Brom,19,West Brom,19,1,
Harry Kane,Man City,1,Man City,1,,1
Harry Kane,Chelsea,4,Chelsea,4,,
Harry Kane,Arsenal,8,Arsenal,8,1,1
Harry Kane,Crystal Palace,14,Crystal Palace,14,1,
Harry Kane,Liverpool,3,Liverpool,3,,
Harry Kane,Leicester,5,Leicester,5,,
Harry Kane,Wolves,13,Wolves,13,,
Harry Kane,Leeds,9,Leeds,9,1,1
Harry Kane,Fulham,18,Fulham,18,1,
Harry Kane,Sheff Utd,20,Sheff Utd,20,1,
Harry Kane,Liverpool,3,Liverpool,3,,
Harry Kane,West Brom,19,West Brom,19,1,
Harry Kane,Man City,1,Man City,1,,
Harry Kane,West Ham,6,West Ham,6,,
Harry Kane,Burnley,17,Burnley,17,1,
Harry Kane,Fulham,18,Fulham,18,,
Harry Kane,Crystal Palace,14,Crystal Palace,14,2,2
Harry Kane,Arsenal,8,Arsenal,8,,
Harry Kane,Aston Villa,11,Aston Villa,11,1,
Harry Kane,Newcastle,12,Newcastle,12,2,
Harry Kane,Man Utd,2,Man Utd,2,,
Harry Kane,Everton,10,Everton,10,2,
Harry Kane,Sheff Utd,20,Sheff Utd,20,,
Harry Kane,Leeds,9,Leeds,9,,
Harry Kane,Wolves,13,Wolves,13,1,
Harry Kane,Aston Villa,11,Aston Villa,11,,
Harry Kane,Leicester,5,Leicester,5,1,1
Mohamed Salah,Leeds,9,Leeds,9,3,
Mohamed Salah,Chelsea,4,Chelsea,4,,
Mohamed Salah,Arsenal,8,Arsenal,8,,
Mohamed Salah,Aston Villa,11,Aston Villa,11,2,
Mohamed Salah,Everton,10,Everton,10,1,
Mohamed Salah,Sheff Utd,20,Sheff Utd,20,,
Mohamed Salah,West Ham,6,West Ham,6,1,
Mohamed Salah,Man City,1,Man City,1,1,
Mohamed Salah,Brighton,16,Brighton,16,,1
Mohamed Salah,Wolves,13,Wolves,13,1,1
Mohamed Salah,Fulham,18,Fulham,18,1,
Mohamed Salah,Spurs,7,Spurs,7,1,
