match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
1,9/20/20,H,Cristiano Ronaldo,Juventus FC,Sampdoria,9,3:0,1,,90'
2,9/27/20,A,Cristiano Ronaldo,Juventus FC,AS Roma,7,2:2,2,,90'
6,11/1/20,A,Cristiano Ronaldo,Juventus FC,Spezia Calcio,15,1:4,2,,34'
7,11/8/20,A,Cristiano Ronaldo,Juventus FC,Lazio,6,1:1,1,,76'
8,11/21/20,H,Cristiano Ronaldo,Juventus FC,Cagliari Calcio,16,2:0,2,,90'
10,12/5/20,H,Cristiano Ronaldo,Juventus FC,Torino,17,2:1,,,90'
11,12/13/20,A,Cristiano Ronaldo,Juventus FC,Genoa,11,1:3,2,,90'
12,12/16/20,H,Cristiano Ronaldo,Juventus FC,Atalanta BC,3,1:1,,,90'
13,12/19/20,A,Cristiano Ronaldo,Juventus FC,Parma,20,0:4,2,,82'
14,12/22/20,H,Cristiano Ronaldo,Juventus FC,Fiorentina,14,0:3,,,90'
15,1/3/21,H,Cristiano Ronaldo,Juventus FC,Udinese Calcio,13,4:1,2,1,90'
16,1/6/21,A,Cristiano Ronaldo,Juventus FC,AC Milan,2,1:3,,,90'
17,1/10/21,H,Cristiano Ronaldo,Juventus FC,Sassuolo,8,3:1,1,,90'
18,1/17/21,A,Cristiano Ronaldo,Juventus FC,Inter,1,2:0,,,90'
19,1/24/21,H,Cristiano Ronaldo,Juventus FC,Bologna,12,2:0,,1,90'
20,1/30/21,A,Cristiano Ronaldo,Juventus FC,Sampdoria,9,0:2,,,90'
21,2/6/21,H,Cristiano Ronaldo,Juventus FC,AS Roma,7,2:0,1,,90'
22,2/13/21,A,Cristiano Ronaldo,Juventus FC,SSC Napoli,5,1:0,,,90'
23,2/22/21,H,Cristiano Ronaldo,Juventus FC,Crotone,19,3:0,2,,90'
24,2/27/21,A,Cristiano Ronaldo,Juventus FC,Hellas Verona,10,1:1,1,,90'
25,3/2/21,H,Cristiano Ronaldo,Juventus FC,Spezia Calcio,15,3:0,1,,90'
26,3/6/21,H,Cristiano Ronaldo,Juventus FC,Lazio,6,3:1,,,21'
